BEZEICHNUNG_D,BEZEICHNUNG_I,BEZEICHNUNG_E,ADRESSE_D,ADRESSE_I,PLZ,ORTSCHAFT_D,ORTSCHAFT_I,HOMEPAGE_D,HOMEPAGE_I,TELEFON,TELEFON 2,FAX,EMAIL_I,EMAIL_D,EINTRITT_D,EINTRITT_I,EINTRITT_E,ÖFFNUNGSZEITEN_D,ÖFFNUNGSZEITEN_I,ÖFFNUNGSZEITEN_E,BESCHREIBUNG_D,BESCHREIBUNG_I,BESCHREIBUNG_E,GEOKOORDINATE_X,GEOKOORDINATE_Y
Schloss Lebenberg,Castel Monteleone,Lebenberg Castle,Lebenbergstraße 15,"via Monteleone, 15",39010,Tscherms,Cermes,,,+39 39 320 4018511,,,anouschkavanrossem@gmail.com,anouschkavanrossem@gmail.com,"8,00 € Erwachsene  - 7,50 € Inhaber der Touristcard  - 6,00 € Gruppen ab 15 Personen  - 3,00 € Kinder (bis 14 Jahre)","€ 8,00 adulti  - € 7,50 con Touristcard  - € 6,00 gruppi (oltre 15 persone)  - € 3,00 bambini (fino a 14 anni)",€8.00 adults  - €7.50 with Touristcard  - €6.00 groups (15 or more)  - €3.00 children (up to 14 years),"Apr-Okt - Mo-Sa 10.30-12.30, 14-16.30 h - geschl. So","apr-ott - lun-sab h 10.30-12.30,14-16.30 - chiuso dom","Apr-Oct - Mon-Sat 10.30-12.30, 2-4.30 pm - Closed Sun","Schloss Lebenberg ist eine Burganlage aus dem 13. Jahrhundert mit Erweiterungen im 16., 17. und 18. Jahrhundert. Die Räume, der Ziergarten, malerische Innenhöfe und die gotische Kapelle bieten einen kunsthistorischen Rundgang vom Mittelalter bis zum Rokoko.","Castel Monteleone è una fortificazione del XIII secolo, ampliata nei secoli XVI, XVII e XVIII. Un percorso storico-artistico che si snoda attraverso giardini, cortili e sale offre un viaggio nei secoli, dal medioevo al periodo del rococò.","Castle Lebenberg/Monteleone is a 13th century castle complex with extensions in the 16th, 17th and 18th centuries. The rooms, the ornamental garden, picturesque courtyards and the Gothic chapel offer a tour through art-history from the Middle Ages to the Rococo.",11.136167,46.63785
Schreibmaschinenmuseum Peter Mitterhofer,Museo delle macchine da scrivere Peter Mitterhofer,Typewriter Museum Peter Mitterhofer,Kirchplatz 10,"piazza della Chiesa, 10",39020,Partschins,Parcines,www.typewritermuseum.com,www.typewritermuseum.com,+39 0473 967581,,+39 0473 965477,info@typewritermuseum.com,info@typewritermuseum.com,"7,00 € Erwachsene  - 6,30 € GuestCard, Gruppen ab 10 Personen, Seniorinnen und Senioren (ab 65 J.) - 2,00 € Jugendliche (bis 16 J.), Schülerinnen und Schüler, Studentinnen und Studenten - 8,00 € geführte Gruppen (ab 10 Personen) - 15,00 € Familienkarte - frei für Kinder (bis 6 J.) ","€ 7,00 adulti  - € 6,30 GuestCard, gruppi oltre 10 persone, anziani (oltre i 65 anni)  - € 2,00 giovani (fino a 16 anni), studenti  - € 8,00 gruppi guidati (a partire da 10 persone) - € 15,00 carta famiglia - gratuito per bambini (fino ai 6 anni)","€7.00 adults  - €6.30 GuestCard, groups (10 or more), elderly (over 60 years)  - €2.00 children (up to 16 years), students  - €8.00 guided groups (10 or more) - €15.00 Family Card - free admission for children (up to 6 years)","Apr-Okt - Mo 14-18 h - Di-Fr 10-12, 14-18 h - Sa 10-12 h - Juni-Okt - jeden 1. So im Monat 14-18 h (freier Eintritt) - Nov-März - Di 10-12 h","apr-ott - lun h 14-18 - mar-ven h 10-12, 14-18 - sab h 10-12 - giu-ott - ogni 1ma dom del mese h 14-18 (ingresso libero) - nov-marzo - mar h 10-12","Apr-Oct - Mon 2-6 pm - Tue-Fri 10-12, 2-6 pm - Sat 10-12 - June-Oct - every first Sun in the month 2-6 pm (freee entrance) - Nov-March - Tue 10-12",Ausgehend von den Erfindungen Peter Mitterhofers aus Partschins wird anhand einer umfangreichen Sammlung die Entwicklungsgeschichte der Schreibmaschine vom 19. Jh. bis in die 1980er-Jahre aufgezeigt.,"Prendendo le mosse dalle invenzioni di Peter Mitterhofer, originario di Parcines, un’ampia collezione illustra la storia della macchina da scrivere dal XIX secolo agli anni ‘80.","Centred on the inventions of Peter Mitterhofer from Partschins/Parcines, the history of the development of the typewriter from the 19th century to the 1980s is shown with the extensive collection.",11.07363939,46.68449654
Hoamet Tramin Museum - Leben an der Grenze,Hoamet Tramin Museum - Vivere tra nord e sud,Hoamet Tramin Museum - Living on the frontier,Rathausplatz 9,piazza Municipio 9,39040,Tramin,Termeno,www.hoamet-tramin-museum.com,www.hoamet-tramin-museum.com,+39 328 5603645,,,info@hoamet-tramin-museum.com,info@hoamet-tramin-museum.com,"3,50 € Erwachsene - freier Eintritt für Kinder bis 16 J. und mit Winepass - 10,00 € Führung ""Tramin und der Gewürztraminer"" (mit Verkostung) - 7,00 € Führung ""Autonomie und Unterland""","€ 3,50 adulti - gratuito per bambini fino a 16 anni e con Winepass - € 10 visita guidata ""Termeno e il Gewürztraminer"" (con degustazione)",€3.50 adults - free for children up to 16 years and with Winepass,"Gründonnerstag-Okt - Di-Fr 10-12 h, Mi auch 16-18 h - Führung ""Tramin und der Gewürztraminer"" Mi, Do 10.30-12 h","Giovedì Santo-ott - mar-ven h 10-12, mer anche h 16-18 - visita guidata ""Termeno e il Gewürztraminer"" su richiesta","Maundy Thursday-Oct - Tue-Fr 10-12, Wed also 4-6 pm","Das Museum erzählt vor allem vom Weinbau, der Land- und Hauswirtschaft und dem Handwerk im Unterland. Es thematisiert aber auch die lokalen Bräuche wie den Egetmann-Umzug und das „Leben an der Grenze“.","Il museo mostra principalmente attrezzi tipici dell’artigianato, della viticoltura, dell’agricoltura, della conduzione della casa e del maso della Bassa Atesina, ma tematizza anche il corteo “Egetmann” di Termeno e il “Vivere tra Nord e Sud”.","The museum chronicles viticulture, agriculture and domestic economy and handicrafts in the area. It talks about local customs such as the Egetmann carnival parade and about the titular life at the border, between north and south.",11.239989,46.341236
Skulpturengarten,Giardino di sculture,Garden of sculptures,39040 Buchholz,39040 Pochi di Salorno,39040,Salurn,Salorno,,,+39 0471 810231,,,info@castelfeder.info,info@castelfeder.info,Freier Eintritt,Ingresso libero,Free admission,ganzjährig geöffnet,aperto tutto l'anno,open all year round,"Der private Skulpturengarten von Sieglinde Tatz Borgogno in Buchholz ist bevölkert von weiblichen und männlichen Figuren, zumeist aus Bronze, in den unterschiedlichsten Größen, die zum Anfassen einladen. Der Garten gewährt zugleich eine beeindruckende Aussicht auf das Etschtal. Weitere Informationen beim Tourismusbüro Castelfeder.","Nel Giardino di sculture di Sieglinde Tatz Borgogno a Pochi si possono ammirare e toccare centinaia di figure, fatte prevalentemente di bronzo e di dimensioni diverse, sedute, sdraiate, in piedi. Il giardino inoltre regala un panorama stupendo sulla sottostante Val d'Adige. Ulteriori informazioni presso l'Ufficio turistico Castelfeder.","Sieglinde Tatz Borgogno's private sculpture garden in Buchholz/Pochi is populated by female and male figures, mostly made of bronze, in a wide variety of sizes. The garden also offers an impressive view of the valley and the river Etsch/Adige. Further information at the Castelfeder Tourist Office.",11.239309,46.247464
Burg Taufers,Castel Taufers,Taufers Castle,Burg Taufers Weg 4,"via Castel Taufers, 4",39032,Sand in Taufers,Campo Tures,www.burgeninstitut.com,www.burgeninstitut.com,+39 0474 678053,,,taufers@burgeninstitut.com,taufers@burgeninstitut.com,"Winter: - 8,00 € Erwachsene - 6,00 € Studenten, Senioren (ab 65 Jahre) - 3,00 € Kinder (6-14 Jahre) - Sommer: - 10,00 € Erwachsene  - 7,00 € Senioren, Studenten - 5,00 € Kinder (6-14 J.) ","Inverno: - € 8,00 adulti  - € 6,00 studenti, anziani (dai 65 anni) - € 3,00 bambini (6-14 anni)  - Estate: - € 10,00 adulti  - € 7,00 anziani, studenti (dai 65 anni) - € 5,00 bambini (6-14 anni)","Winter: - €8.00 adults  - €6.00 students, elderly (over 65) - €3.00 children (6-14 years)  - Summer: - €10.00 adults  - €7.00 elderly, students - €5.00 children (6-14 years) ","ganzjährig mit Führung - täglich geöffnet - Öffnungszeiten siehe: <a title=""[Externer Link] - Webseite vom Burgeninstitut"" href=""http://www.burgeninstitut.com/taufers_besucherinfo.htm"">Webseite vom Burgeninstitut</a>","tutto l'anno con guida - aperto tutti i giorni - orari di apertura vedi: <a title=""[Link esterno] - Sito web del Burgeninstitut"" href=""http://www.burgeninstitut.com/castel_taufers_informazioni_vi.htm"">pagina web del Burgeninstitut</a>","all year round guided tours - daily open - opening hours: <a title=""[External Link] - Website Burgeninstitut"" href=""http://www.burgeninstitut.com/information_taufers_en.htm"">website Burgeninstitut</a>",Die mächtige mittelalterliche Burganlage beherbergt eine sehenswerte Sammlung von Einrichtungs- und Kunstgegenständen des 12. bis frühen 17. Jahrhunderts. Besonders wertvoll sind die Fresken von Friedrich Pacher in der Burgkapelle.,L’imponente castello medievale ospita un’interessante collezione di oggetti di arredo e opere d’arte dal XII secolo agli inizi del XVII secolo Particolarmente preziosi sono gli affreschi della cappella realizzati da Friedrich Pacher.,The mighty medieval castle complex houses a collection of furnishings and art objects from the 12th to the early 17th century that is well worth seeing. The frescoes by Friedrich Pacher in the castle chapel are particularly valuable.,11.94911241,46.92343555
Stadt- und Multschermuseum Sterzing,Museo civico e Museo Multscher di Vipiteno,Municipal Museum and Multscher Museum of Sterzing,"Deutschhaus, Deutschhausstraße 11","Commenda dell'Ordine Teutonico, via della Commenda, 11",39049,Sterzing,Vipiteno,,,+39 0472 766464,,+39 0472 767060,museo@vipiteno.eu,museum@sterzing.eu,"2,50 € Erwachsene, Gruppen mit Führung  - 1,20 € Kinder 6-14 Jahre","€ 2,50 adulti, gruppi con visita guidata  - € 1,20 bambini (6-14 anni)","€2.50 adults, groups  - €1.20 children (6-14 years)","Apr-Okt - Di-Sa 10-13, 14-17 h","apr-ott - mar-sab h 10-13, 14-17","Apr-Oct - Tue-Sat 10-1 pm, 2 pm-5 pm","Das Stadt- und Multschermuseum ist im Ansitz des Deutschordens beheimatet. Herzstück der Sammlung sind die spätgotischen Altartafeln des Ulmer Meisters Hans Multscher aus dem 15. Jahrhundert. Weitere Teile dieses Altars, der damals einer der teuersten und größten Altäre im Tiroler Raum war, sind ebenfalls ausgestellt.","Il Museo Civico e Museo Multscher è collocato all'interno della Commenda dell'Ordine Teutonico. Gioiello della collezione sono le portelle dell’altare maggiore tardogotico (XV sec.) di Hans Multscher di Ulma, esposte insieme ad altre parti conservate di uno dei più grandi e costosi altari, all’epoca, dell’arco alpino.","The former seat of the Teutonic Order in Sterzing/Vipiteno houses the city's museum. Highlight of the collection are the late Gothic altarpieces by the Ulm master craftsman Hans Multscher from the 15th century. Also on display are other parts of this altar, which was one of the most expensive and largest altars in the region at the time.",11.43283,46.890371
Fossilia,Fossilia,Fossilia,Möltnerstraße 1/A,"via Möltner, 1/A",39010,Moelten,Meltina,www.gemeinde.moelten.bz.it,www.comune.meltina.bz.it,+39 0471 668001,,+39 0471 668201,info@meltina.eu,info@moelten.eu,freier Eintritt,entrata libera,free admission,"ganzjährig geöffnet, jederzeit frei zugänglich",accesso libero tutto l'anno,Open all year round free admission at all times,"Fossilia zeigt die schönsten Funde aus der Umgebung von Mölten und gibt Zeugnis geologischer Prozesse, die über Millionen Jahre gewirkt haben. Besondere Aufmerksamkeit verdienen die fossilen Baumreste.",Fossilia mostra i più bei reperti della zona di Meltina e testimonia i complessi fenomeni geologici avvenuti nel corso di milioni di anni. Particolarmente interessanti sono i resti fossili di alberi.,The most beautiful fossil finds from the area around Mölten/Meltina are shown. They bear witness to geological processes that have been at work for millions of years. The fossil tree remains deserve special attention.,11.253673,46.586661
Museum Eccel Kreuzer ,Museo Eccel Kreuzer,Eccel Kreuzer Museum,Silbergasse 10,via Argentieri 10,39100,Bozen,Bolzano,www.eccel-kreuzer.it/de,www.eccel-kreuzer.it/it,+39 0471 301621,,,museum@eccel-kreuzer.it,museum@eccel-kreuzer.it,"</ul> - Dauerausstellung - 14,00 € Erwachsene - 11,00 € reduzierter Eintritt (Gruppen ab 6 Personen, Schüler*innen/Studierende/Lehrlinge unter 27 Jahre, Personen ab 65 Jahre, Personen mit Behinderung, Zivildiener*innen) - gratis Kinder unter 6 Jahre - 5,00 € Schulklassen - 28,00 € Familien (2 Erwachsene mit beliebig vielen Kindern unter 16 Jahre) - 14,00 € Familien ""mini"" (1 Erwachsener mit beliebig vielen Kindern unter 16 Jahre) - Wachselausstellung - 4,00 € Erwachsene - 3,00 € reduzierter Eintritt (Gruppen  ab 12 Personen, Schüler*innen/Studierende/Lehrlinge unter 27 Jahre,  Personen ab 65 Jahre, Personen mit Behinderung, Zivildiener*innen) - gratis Kinder unter 6 Jahre - 1,00 € Schulklassen - 8,00 € Familien (2 Erwachsene mit beliebig vielen Kindern unter 16 Jahre) - 4,00 € Familien ""mini"" (1 Erwachsener mit beliebig vielen Kindern unter 16 Jahre) - 2,50 € Führungen","Mostra permanente -  14,00 adulti - € 11,00 ridotto (gruppi da 6 persone, studentesse/studenti, apprendisti sotto i 27 anni, persone sopra i 65 anni, persone con disabilità, servizio civile) - gratis bambini sotto i 6 anni - € 5,00 classi scolastiche - € 28,00 famiglie (2 adulti e bambini sotto i 16 anni) - € 14,00 famiglia ""mini"" (1 adulto e bambini sotto i 16 anni) - Mostra temporanea -  4,00 adulti - € 3,00 ridotto (gruppi da 12 persone,  studentesse/studenti, apprendisti sotto i 27 anni, persone sopra i 65  anni, persone con disabilità, servizio civile) - gratis bambini sotto i 6 anni - € 1,00 classi scolastiche - € 8,00 famiglie (2 adulti e bambini sotto i 16 anni) - € 4,00 famiglia ""mini"" (1 adulto e bambini sotto i 16 anni) - € 2,50 visite guidate","Permanent exhibition - €14.00 adults - €11.00 reduced admission (groups of 6 or more, pupils/students/apprentices under 27 years, Persons aged 65 and over, persons with disabilities, civil servants) - free children under 6 years - €28.00 families (2 adults with any number of children under the age of 16) - €14.00 families ""mini"" (1 adult with any number of children under 16 years) - Temporary exhibition - €4.00 adults - €3.00 reduced admission (groups of 12 or  more, pupils/students/apprentices under 27 years, Persons aged 65 and  over, persons with disabilities, civil servants) - free children under 6 years - €8.00 families (2 adults with any number of children under the age of 16) - €4.00 families ""mini"" (1 adult with any number of children under 16 years) - €2.50 guided tours","Dauerausstellung - Di-Fr 10-18 h nur mit Führung auf Voranmeldung - auf Anfrage auch Sa und So - Sonderausstellung ""Paul Flora und die satirische Kunst in der Sammlung Eccel Kreuzer""  - Di-So 10-18 h - (bis 31. Okt 2022)","Mostra permanente - mar-ven h 10-18 solo con visita guidata su prenotazione - su richiesta anche sab e dom - Mostra temporanea ""Paul Flora e l'arte satirica nella Collezione Eccel Kreuzer""  - mar-dom h 10-18 - (fino al 31 ott 2022)","Permanent exhibition - Tue-Fri 10-6 pm only guided tours on reservation - on request also Sat and Sun - Special exhibition ""Paul Flora and the Satirical Art in the Eccel Kreuzer Collection""  - Tue-Sun 10-6 pm - (until 31 Oct 2022)","Der Bozner Richter, Unternehmer und Kunstsammler Josef Kreuzer schenkte 2017 dem Land Südtirol testamentarisch sein Haus unter den Bozner Lauben und die darin enthaltene Sammlung mit über 1.500 Werken von rund 300 Kunstschaffenden aus Südtirol, Tirol und dem Trentino. Die Bedingung, die er dabei stellte, war die, das Gebäude einem breiten Publikum zugänglich zu machen. Im Erdgeschoss befindet sich der Kunstraum Eccel Kreuzer für Kunstausstellungen. Das Museum wird vom Landesmuseum Festung Franzensfeste geleitet.","Nel 2017 il magistrato, imprenditore e collezionista bolzanino Josef Kreuzer donò per testamento alla Provincia di Bolzano la sua collezione di oltre 1.500 opere di circa 300 artisti del Tirolo, dell’Alto Adige e del Trentino, insieme al palazzo che la ospita in pieno centro storico a Bolzano, a condizione di farne un museo accessibile al pubblico. A pianterreno è stato ricavato un ambiente per mostre temporanee d’arte, lo Spazio Eccel Kreuzer. Il museo è gestito dal Museo provinciale Forte di Fortezza.","In 2017, Josef Kreuzer, a judge, entrepreneur and art collector from the city, bequeathed his building in the city's porticos and his art collection of over 1,500 works by around 300 artists from South Tyrol, Tyrol and Trentino to the province of South Tyrol. His condition: the building should be accessible to the public. Art exhibitions are shown in the Kunstraum/Spazio Eccel Kreuzer on the ground floor. The museum is run by the South Tyrolean Museum in Franzensfeste/Fortezza.",11.353894,46.499065
Imkereimuseum Plattner Bienenhof,Museo dell'apicoltura maso Plattner,Apiculture Museum,"Oberbozen, Wolfsgruben 15","Soprabolzano, Costalovara 15",39054,Ritten,Renon,www.museo-plattner.it,www.museo-plattner.it,+39 0471 345350,,+39 0471 345350,info.plattner@gramm-spa.it,info.plattner@gramm-spa.it,"kostenlos für Kinder bis 6 Jahre - 4,00 € Kinder (6-12 Jahre)  - 5,00 € Gruppen ab 8 Personen - 7,00 € Erwachsene  - 14,00 € Familien  - 5,00 € Schulklassen","gratuito per bambini fino a 6 anni - € 4,00 bambini (6 - 12 anni)  - € 5,00 gruppi oltre 8 persone  - € 7,00 adulti  - € 14,00 famiglie  - € 5,00 scolaresche",free for children up to 6 years - €4.00 children (6-12 years)  - €5.00 groups of 8 or more  - €7.00 adults  - €14.00 families ,Ostern-Okt - täglich 10-18 h,Pasqua-ott - tutti i giorni h 10-18,Easter-October - daily 10-6 pm,Das Imkereimuseum im Plattnerhof zeigt mit historischen Gegenständen die Geschichte und Entwicklung der Imkerei in Südtirol. Im Freigelände gibt es einen Lehrpfad mit alten Bienenständen und einen Bauerngarten.,"Sulla scorta di varie attrezzature per la produzione del miele, il museo nel maso Plattner illustra la storia e lo sviluppo dell’apicoltura in Alto Adige. L’area esterna al maso ospita un percorso didattico con vecchi apiari e un orto contadino.",The apiculture museum in the Plattnerhof farm shows the history and development of beekeeping in South Tyrol with historical objects. In the open-air area there is a nature trail with old apiaries and a farmer's garden.,11.427767,46.52513
Bauernmuseum im Tschötscherhof,Museo contadino maso Tschötscher,Farmer's Museum in Tschötscher Hof,"Tschötscherhof, St. Oswald 19","maso Tschötscher, Sant'Osvaldo, 19",39040,Kastelruth,Castelrotto,www.museum-kastelruth.com,www.museum-kastelruth.com,+39 0471 706013,,,info@museum-kastelruth.com,info@museum-kastelruth.com,freiwillige Spende,offerta libera,volontary contribution,März-Allerheiligen - Do-Di 8-22 h,marzo-Ognissanti - gio-mar h 8-22,March-All Saints - Thu-Tue 8-10 pm,"Im 500 Jahre alten Bauernhaus erzählen Geräte, Werkzeuge und Gegenstände aus dem Alltag und zur Volksfrömmigkeit vom bäuerlichen Leben.","Nell’antica casa colonica, risalente a 500 anni fa, una ricca collezione di macchinari, attrezzi e oggetti d’uso quotidiano e di devozione documenta la vita della civiltà contadina.","In the 500-year-old farmhouse, tools and objects from everyday life and popular piety tell of peasant life.",11.521436,46.556021
Gustav-Mahler-Komponierhäuschen,Casetta di composizione di Gustav Mahler,Gustav Mahler composing hut,Altschluderbach 3,"Carbonin Vecchia, 3",39034,Toblach,Dobbiaco,www.mahlernaturklangpark.com,www.mahlernaturklangpark.com/italiano,+39 0474 972142,,,saskia@santer.it,saskia@santer.it,Freier Eintritt,Ingresso libero,Free admission,"Besichtigung nur mit vorzeitiger Terminabsprache - 14 -23 Juli 2023: täglich 12-14 h - Anfang Juli - Anfang Sep - Führung Fr 15-17 h: - Ticket erforderlich, Infos +39 0474 972132, <a href=""mailto: info@toblach.info"">info@toblach.info</a>","visita solo previo appuntamento - 14-23 lug 2023: tutti i giorni h 12-14 - inizio lug - inizio sett - visita guidata ven h 15-17: - richiesto il biglietto, info +39 0474 972132, <a href=""mailto: info@toblach.info"">info@toblach.info</a>","viewing by appointment only - 14-23/07/2023: daily noon-2 pm - beginning of July - beginning of Sep - guided tour Fri 3-5 pm: - ticket required, info: +39 0474 972132, <a href=""mailto: info@toblach.info"">info@toblach.info</a>","Gustav Mahler verweilte in den Sommermonaten der Jahre 1908 bis 1910 auf dem Trenkerhof in Altschluderbach, wo er die Neunte Symphonie, die unvollendete Zehnte Symphonie und „Das Lied von der Erde“ schuf. Das Komponierhäuschen ist Zeugnis seines Aufenthaltes in Toblach.","Gustav Mahler trascorse le estati dal 1908 al 1910 a Dobbiaco, presso il maso Trenker, a Carbonin Vecchia. Qui compose la Nona Sinfonia, la Decima Sinfonia (rimasta incompiuta) e “Das Lied von der Erde”. La casetta di composizione testimonia il suo soggiorno a Dobbiaco.","Gustav Mahler stayed at the Trenkerhof in Altschluderbach/Carbonin Vecchia during the summer months of 1908 to 1910, where he composed the Ninth Symphony, the unfinished Tenth Symphony and ""Das Lied von der Erde"". The composer's cabin is evidence of his stay in Toblach/Dobbiaco.",12.20089,46.72751
Fremdenverkehrsmuseum Hochpustertal,Museo del turismo dell'Alta Pusteria,Tourism Museum of the Upper Puster Valley,"Haus Wassermann, Hans-Wassermann-Str. 8","Casa Wassermann, via Hans Wassermann 8",39039,Niederdorf,Villabassa,www.niederdorf.eu,www.villabassa.eu,+39 0474 745133,,+39 0474 745305,info@ villabassa.eu,info@niederdorf.eu,"5,00 € Erwachsene  - 3,00 € Schüler und Studenten, Senioren (über 65), pro Person für Gruppen ab 10 Personen  - Kinder bis 6 Jahre: Eintritt frei","€ 5,00 adulti  - € 3,00 scolari e studenti, anziani (over 65), a persona per gruppi di 10 o più persone  - gratuito per bambini fino ai 6 anni","€5.00 adults  - €3.00 students, elderly (over 65), per person for groups of 10 or more  - free for children up to 6 years","Juli-Aug Mo-Sa 16-18 h - Sep-Okt Di, Fr 16-18 h","lug-ago lun-sab h 16-18 -  sett-ott mar, ven h 16-18","July-Aug Mon-Sat 4-6 pm - Sep-Oct Tue, Fri 4-6 pm","Das Fremdenverkehrsmuseum im Haus Wassermann dokumentiert die Geschichte des Tourismus im Hochpustertal. Es wird auf die Bedeutung der Wirtshäuser, der Bäder, den Bau der Pustertaler Bahn und den frühen Alpinismus eingegangen. Sonderausstellungen ergänzen das Programm.","Il museo allestito in Casa Wassermann documenta la storia del turismo in Alta Pusteria, con riferimenti agli albori del turismo (antichi alberghi e osterie, bagni termali), alla ferrovia della Pusteria e alle origini dell’alpinismo nella regione. Integrano il programma mostre temporanee.","The museum in the Wassermann House documents the history of tourism in the Upper Puster valley. The significance of the inns, the spas, the construction of the railway and early alpinism are covered. Special exhibitions extend the narration.",12.167634,46.738213
MuseumHinterPasseier - Stieber Mooseum,MuseoAltaPassiria - Stieber Mooseum,MuseumHinterPasseier - Stieber Mooseum,"Industriezone, Stieber Kraftwerk","zona industriale, centrale idroelettrica Stieber",39013,Moos in Passeier,Moso in Passiria,www.museum.hinterpasseier.it,www.museum.hinterpasseier.it,+39 0473 648529,,+39 0473 648703,info@museum.hinterpasseier.it,info@museum.hinterpasseier.it,freier Eintritt,ingresso libero,free entrance,Apr-Okt - Di-So 10-17 h,apr-ott - mar-dom h 10-17,Apr-Oct - Tue-Sun h 10-5 pm,"Erbaut von der Gemeinde Moos im Jahr 1965 versorgte die Anlage bis 2006 die Umgebung mit elektrischer Energie. Heute werden hier Wissen und Geschichten rund um diesen zentralen Bereich der Gesellschaft vermittelt, Einblicke in die technischen und maschinellen Grundlagen geboten, und die Relevanz für das Hinterpasseier als Musterregion dargestellt.","Edificato dal Comune di Moso nel 1965, l’impianto rifornì di energia elettrica i dintorni fino al 2006. Oggi è usato per presentare conoscenze e storie relative a questo settore centrale per la nostra società, per offrire una panoramica sui principi tecnici e meccanici su cui si basa, e per illustrarne la rilevanza per l’Alta Passiria.","Built by the municipality of Moos in 1965, the plant supplied the surrounding area with electrical energy until 2006. Today it conveys knowledge and stories about this central area of society, offers insights into the technical and mechanical basics, and underlines the relevance for the valley.",11.166528,46.82745
Landesfürstliche Burg,Castello Principesco,Prince's Castle,Galilei-Straße ,Via Galilei,39012,Meran,Merano,www.gemeinde.meran.bz.it/de/Landesfuerstliche_Burg ,www.comune.merano.bz.it/it/castello_principesco ,+39 329 0186390,,,museo@comune.merano.bz.it,museum@gemeinde.meran.bz.it,"5,00 € Erwachsene  - 4,00 € mit Ermäßigung  - freier Eintritt für Jugendliche bis 18 Jahre","€5,00 adulti  - €4,00 ridotto  - ingresso gratuito per giovani fino a 18 anni",€5.00 adults  - €4.00 with reduction - €free entrance for young people up to 18 years,"Osterwoche-6. Jan - Di-Sa 10.30-17 h - So, Feiertage 10.30-13 h - an ""Dienstag-Abenden"" im Sommer - 10.30-13, 18-22 h","Settimana di Pasqua-6 gen - mar-sab h 10.30-17 - dom, festivi h 10.30-13 - nei ""Martedìsera"" estivi - h 10.30-13, 18-22","week before Easter-6 Jan - Tue-Sat 10.30-5 pm - Sun, public holidays 10.30-1 pm - on the ""Late Tuesdays"" in summer - 10.30-1 pm, 6-10 pm","Die Landesfürstliche Burg am Fuße des Küchelberges im Herzen von Meran ist ein erstklassiges Objekt, um die spätmittelalterlichen Lebensgewohnheiten zu studieren. Möbel des alltäglichen Bedarfs, Küchengeräte, einer der ältesten erhaltenen Kachelöfen, Porträts, Musikinstrumente und Waffen lassen eine längst vergangene Epoche wiedererstehen.","Ai piedi di Monte Benedetto, nel cuore di Merano, il Castello Principesco offre una preziosa occasione per studiare abitudini e modi di vita del tardo Medioevo. Arredi di uso quotidiano, utensili da cucina, una delle più antiche stufe di maiolica giunte fino a noi, ritratti, strumenti musicali e armi consentono di toccare con mano un passato ormai remoto.","The Prince's Castle in the heart of Meran/Merano is a prime object for studying late medieval lifestyles. Furniture, kitchen utensils, one of the oldest surviving tiled stoves, portraits, musical instruments and weapons bring a bygone era back to life.",11.1617875,46.67251289
Museum Vinschger Oberland,Museo Alta Val Venosta,Upper Vinschgau Valley Museum,Altes Gemeindehaus,Antico Municipio,39020,Graun in Vinschgau,Curon Venosta,,,+39 0473 633101,,,,,freiwillige Spende - freier Eintritt mit Tourist- und Goldcard,offerta libera - ingresso libero con tourist card e Goldcard ,by contribution - free entrance with tourist card and Goldcard,Juli-Sep  - Mi 17 h mit Anmeldung - für Gruppentermine Tel. +39 348 0609560,lug-set - mer h 17 previa prenotazione - Appuntamenti per gruppi su richiesta: tel. +39 348 0609560,July-Sep  - Wed 5 pm by arrangement - Special guided tours for groups on request: Tel. +39 348 0609560,"Das Museum erzählt in Bildern und Objekten von der Landschaft und den Dörfern vor der Seestauung, von der Flutung und dem Wiederaufbau der Dörfer, Weiler und Höfe um Reschensee und Grauner See. Sakrale Gegenstände und Figuren aus den alten Dorfkirchen ergänzen die Sammlung. Modelle zeigen die Ausdehnung von Graun.","Il museo racconta il paesaggio e i centri abitati com’erano prima che il livello dell’acqua venisse artificialmente innalzato, il successivo allagamento e la ricostruzione dei paesi e dei masi intorno al Lago di Resia e al Lago di Curon. Esposti anche oggetti e figure sacre dalle antiche chiese di paese. Dei modelli mostrano l'espansione di Curon.","Using pictures and objects, the museum illustrates the landscape and the villages before the lake was dammed, the flooding and the reconstruction of the villages, hamlets and farms around the lakes. Sacred objects and figures from the old village churches complete the collection. Models show the area of Graun/Curon.",10.542165,46.8084204
