Sigla,Denominazione,DENOMINAZIONE_DE,COMUNE_DE,COMUNE_IT,CAP,INDIRIZZO_DE,INDIRIZZO_IT,EMAIL,TELEFONO,HOMEPAGE_IT,HOMEPAGE_DE
PMB,Museo della Farmacia di Bressanone,Pharmaziemuseum Brixen,Brixen,Bressanone,39042,Adlerbrückengasse 4,Via Ponte Aquila 4,"mail@museofarmacia.it
mail@pharmaziemuseum.it ",+39 0472 209112,museofarmacia.it,pharmaziemuseum.it 
PNO,Parrocchia di San Pietro Apostolo e Sant'Agnese a Valdaora,Pfarrei zum Hl. Apostel Petrus und zur Hl. Agnes in Olang,Olang,Valdaora,39030,Pfarrstraße 2,Piazza Parrocchia 2,,,,
ROH,Rohrerhaus,Rohrerhaus,Sarnthein,Sarentino,39058,Runggenerstraße 10,Via Ronco 10,info@rohrerhaus.it,+39 0471 622644,rohrerhaus.it,
SAM,Museo Archeologico dell'Alto Adige,Südtiroler Archäologiemuseum,Bozen,Bolzano,39100,Museumstraße 43,Via Museo 43,info@iceman.it,+39 0471 320100,iceman.it,iceman.it
SBM,Museo Provinciale Miniere dell'Alto Adige,Südtiroler Landesmuseum Bergbau,Brixen,Bressanone,39042,Stadelgasse 8b,Via Fienili 8b,bergbau@landesmuseen.it,+39 0472 055085,museominiere.it,bergbaumuseum.it
SGB,Città di Brunico,Stadtgemeinde Bruneck,Bruneck,Brunico,39031,Rathausplatz 1,Piazza Municipio 1,,,,
SLAR,Archivio provinciale di Bolzano,Südtiroler Landesarchiv,Bozen,Bolzano,39100,Armando-Diaz-Straße 8/B,Via Armando Diaz 8/B,"archivioprovinciale@provincia.bz.it
landesarchiv@provinz.bz.it",+39 0471 411940,provincia.bz.it/arte-cultura/archivio-provinciale,provinz.bz.it/kunst-kultur/landesarchiv
SME,Palais Mamming Museum,Palais Mamming Museum,Meran,Merano,39012,Pfarrplatz 6,Piazza Duomo 6,"museo@comune.merano.bz.it
museum@gemeinde.meran.bz.it",+39 0473 270038,palaismamming.it,palaismamming.it
SML,Museum Ladin Ciastel de Tor,Museum Ladin Ciastel de Tor,St. Martin in Thurn,San Martino in Badia,39030,"Schloss Thurn, Torstraße 65","Castel Tor, Via Tor 65",info@museumladin.it,+39 0474 524020,https://www.museumladin.it/,https://www.museumladin.it/
SMM,Museo delle macchine da scrivere - Peter Mitterhofer,Schreibmaschinenmuseum - Peter Mitterhofer,Partschins,Parcines,39020,Kirchplatz 10,Piazza della Chiesa 10,info@typewritermuseum.com,+39 0473 967581,typewritermuseum.com,typewritermuseum.com
STM,Touriseum - Museo provinciale del Turismo (Alto Adige) - Castel Trauttmansdorff,Touriseum - Südtiroler Landesmuseum für Tourismus - Schloss Trauttmansdorff,Meran,Merano,39012,St.-Valentin-Straße 51a,Via S. Valentino 51a,info@touriseum.it,+39 0473 255655,www.touriseum.it,www.touriseum.it
SVM,Museo provinciale degli usi e costumi (Alto Adige),Südtiroler Landesmuseum für Volkskunde,Bruneck,Brunico,39031,"Dietenheim, Herzog-Diet-Straße 24","Teodone, Via Duca Diet 24","museo-etnografico@museiprovinciali.it
volkskundemuseum@landesmuseen.it ",+39 0474 552087,museo-etnografico.it,volkskundemuseum.it
TAP,Archivio Tirolese per la documentazione e l'arte fotografica,Tiroler Archiv für photographische Dokumentation und Kunst,Bruneck,Brunico,39031,Rathausplatz 1,Piazza Municipio 1,office@tiroler-photoarchiv.eu,+39 0474 545 400,tiroler-photoarchiv.eu,tiroler-photoarchiv.eu
TEI,Museo mineralogico di Tiso,Mineralienmuseum Teis,Villnöss,Funes,39040,"Vereinshaus Teis, Teiser Straße 12","Pro Loco di Tiso, Via Teiser 12","info@museomineralogicotiso.it
info@mineralienmuseum-teis.it ",+39 0472 844522,museomineralogicotiso.it,mineralienmuseum-teis.it 
TRA,Hoamet Tramin Museum,Hoamet Tramin Museum,Tramin,Termeno,39040,Rathausplatz 9,Piazza Municipio 9,info@hoamet-tramin-museum.com,+39 328 5603645,hoamet-tramin-museum.com,hoamet-tramin-museum.com
UTM,Museo della Val d’Ultimo,Ultner Talmuseum,Ulten,Ultimo,39016,St. Nikolaus 107,S. Nicolò 107,info@culten.it,+39 0473 428900,,
VCT,Veteran Car Team,Veteran Car Team,Bozen,Bolzano,39100,Fagenstraße 50/B,Via Fago 50/B,info@veteran.it,+39 0471 324141 ,veteran.it,veteran.it
VEM,Museo virtuale,Virtuelles Museum,Bozen,Bolzano,39100,Pascolistraße 2/a,Via Pascoli 2/a,"musei@provincia.bz.it
museen@provinz.bz.it",+39 0471 416830,provincia.bz.it/catalogo-beniculturali,provinz.bz.it/katalog-kulturgueter
ZAV,"Archivio audiovisivo di storia contemporanea, Ufficio Film e media, Provincia autonoma di Bolzano - Alto Adige","Zeitgeschichtliches Archiv für AV-Medien, Amt für Film und Medien, Autonome Provinz Bozen - Südtirol",Bozen,Bolzano,39100,"Landhaus 7, Andreas-Hofer-Straße 18 ","Palazzo 7, via Andreas Hofer 18","medien@provincia.bz.it
medien@provinz.bz.it",+39 0471 412915,,provinz.bz.it/kunst-kultur/film-medien/medienarchive.asp
